Industry,Company Size,Annual Revenue (M$),Role,Adoption Stage,Spending Score (1-100)
Retail,Small,397,CEO,Exploring,83
Finance,Large,187,Manager,Exploring,78
Education,Medium,19,Manager,Adopted,26
Tech,Small,177,Engineer,Trial,62
Finance,Medium,100,Data Scientist,Trial,4
Tech,Large,396,Manager,Trial,89
Retail,Large,445,Engineer,Exploring,42
Retail,Large,233,Engineer,Trial,89
Healthcare,Small,403,Data Scientist,Trial,18
Education,Medium,76,CEO,Exploring,40
Tech,Medium,265,Manager,Pilot,72
